epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,20381,1.39043,0.87501,0.91795,0.8602,0.73273,0.78877,0.57526,1.40641,0.84356,0.92949,0.000256192,0.000256192,0.000256192
116,20502.9,1.38986,0.88664,0.9195,0.84928,0.73772,0.7932,0.58823,1.38286,0.84522,0.92394,0.000253281,0.000253281,0.000253281
117,20925.2,1.39939,0.87641,0.91846,0.85786,0.72946,0.79312,0.58533,1.38571,0.84144,0.92478,0.00025037,0.00025037,0.00025037
118,21045.3,1.40323,0.89046,0.92054,0.8519,0.74191,0.79889,0.58889,1.37883,0.83586,0.92551,0.00024746,0.00024746,0.00024746
119,21150.9,1.38593,0.87268,0.91744,0.86087,0.73601,0.79667,0.58987,1.39029,0.84464,0.9278,0.000244549,0.000244549,0.000244549
120,21220.1,1.38056,0.87908,0.91706,0.8652,0.74043,0.80331,0.59625,1.37546,0.8352,0.92342,0.000241639,0.000241639,0.000241639
121,21494.8,1.40436,0.88372,0.92095,0.85486,0.74651,0.79423,0.58828,1.3746,0.82933,0.92237,0.000238728,0.000238728,0.000238728
122,21674.8,1.38995,0.87458,0.91057,0.86372,0.72205,0.78477,0.57096,1.38527,0.8319,0.92367,0.000235817,0.000235817,0.000235817
123,21822.4,1.39205,0.87441,0.91916,0.87237,0.73026,0.79392,0.58873,1.37326,0.83467,0.92426,0.000232907,0.000232907,0.000232907
124,21960.5,1.40633,0.87471,0.91721,0.85255,0.74848,0.79705,0.59169,1.37317,0.8294,0.92232,0.000229996,0.000229996,0.000229996
125,22110.7,1.35421,0.85583,0.91206,0.87481,0.72341,0.79604,0.58882,1.37014,0.82672,0.92274,0.000227086,0.000227086,0.000227086
126,22270.4,1.39363,0.86563,0.91614,0.87681,0.73994,0.80238,0.5972,1.36583,0.81946,0.92072,0.000224175,0.000224175,0.000224175
127,22401.8,1.36962,0.85134,0.91565,0.87627,0.73646,0.79858,0.59093,1.36782,0.81349,0.92064,0.000221264,0.000221264,0.000221264
128,22470.8,1.37266,0.85274,0.91282,0.86168,0.7473,0.80376,0.59812,1.3667,0.81882,0.92011,0.000218354,0.000218354,0.000218354
129,22626.8,1.37543,0.86006,0.91344,0.87619,0.74283,0.80003,0.59185,1.37701,0.82465,0.9216,0.000215443,0.000215443,0.000215443
130,22831.6,1.35626,0.85234,0.91077,0.88443,0.72859,0.80255,0.59676,1.3672,0.815,0.92166,0.000212533,0.000212533,0.000212533
131,22949.3,1.38223,0.86463,0.91244,0.85837,0.75274,0.80391,0.59615,1.35411,0.8173,0.91946,0.000209622,0.000209622,0.000209622
132,23084.4,1.36524,0.85528,0.91102,0.86847,0.74439,0.80637,0.59541,1.36101,0.81713,0.9204,0.000206711,0.000206711,0.000206711
133,23250.1,1.34491,0.83605,0.90993,0.88678,0.7424,0.80669,0.5953,1.3747,0.81594,0.92145,0.000203801,0.000203801,0.000203801
134,23361,1.3825,0.85809,0.91371,0.85179,0.75444,0.80807,0.60171,1.35774,0.81085,0.91894,0.00020089,0.00020089,0.00020089
135,23476.9,1.3626,0.84817,0.91117,0.8452,0.75358,0.80805,0.60013,1.35464,0.80588,0.91691,0.00019798,0.00019798,0.00019798
136,23623,1.37534,0.85546,0.91313,0.86049,0.74874,0.80586,0.59429,1.36518,0.81488,0.9192,0.000195069,0.000195069,0.000195069
137,23822.8,1.36371,0.84568,0.90828,0.84415,0.74377,0.80595,0.59645,1.35538,0.8103,0.91843,0.000192158,0.000192158,0.000192158
138,24049.1,1.36602,0.84174,0.91358,0.8551,0.75054,0.80743,0.60364,1.35546,0.80818,0.91778,0.000189248,0.000189248,0.000189248
139,24222.8,1.38072,0.85487,0.90491,0.87763,0.74602,0.80571,0.59914,1.36968,0.80865,0.91894,0.000186337,0.000186337,0.000186337
140,24411,1.3402,0.83812,0.90911,0.85776,0.74346,0.8011,0.59383,1.35888,0.81087,0.91906,0.000183427,0.000183427,0.000183427
141,24626.1,1.34711,0.82939,0.90857,0.85406,0.74978,0.80478,0.60503,1.35419,0.8056,0.91825,0.000180516,0.000180516,0.000180516
142,24817.5,1.38637,0.85263,0.90691,0.87003,0.74565,0.80466,0.5971,1.36207,0.8078,0.91907,0.000177605,0.000177605,0.000177605
143,25018.7,1.35876,0.84108,0.91004,0.87307,0.74935,0.81057,0.60228,1.35728,0.79951,0.91909,0.000174695,0.000174695,0.000174695
144,25281.2,1.35037,0.84059,0.90777,0.87166,0.7348,0.79832,0.59134,1.36663,0.81165,0.9215,0.000171784,0.000171784,0.000171784
